Team 1,Team 2,Winner,Margin of runs,Margin of wickets,Ground,Match Date,MatchYear
Kings XI,Super Kings,Super Kings,33,,Mohali,"Apr 19, 2008",2008
Super Kings,Mum Indians,Super Kings,6,,Chennai,"Apr 23, 2008",2008
Super Kings,KKR,Super Kings,,9,Chennai,"Apr 26, 2008",
RCB,Super Kings,Super Kings,13,,Bengaluru,"Apr 28, 2008",
Super Kings,Daredevils,Daredevils,,8,Chennai,"May 2, 2008",2008
Royals,Super Kings,Royals,,8,Jaipur,"May 4, 2008",
Super Kings,,,,7,Chennai,"May 6, 2008",2008
Daredevils,Super Kings,Super Kings,,4,Delhi,"May 8, 2008",
Super Kings,Kings XI,Super Kings,18,,Chennai,"May 10, 2008",2008
Mum Indians,Super Kings,Mum Indians,,9,Mumbai,"May 14, 2008",2008
KKR,Super Kings,Super Kings,3,,Kolkata,"May 18, 2008",
Super Kings,RCB,RCB,14,,Chennai,"May 21, 2008",
Super Kings,Royals,Royals,10,,Chennai,"May 24, 2008",
,Super Kings,Super Kings,,7,Hyderabad (Deccan),"May 27, 2008",
Super Kings,Kings XI,Super Kings,,9,Mumbai,"May 31, 2008",
Super Kings,Royals,Royals,,3,Mumbai,"Jun 1, 2008",
Super Kings,Mum Indians,Mum Indians,19,,Cape Town,"Apr 18, 2009",
RCB,Super Kings,Super Kings,92,,Port Elizabeth,"Apr 20, 2009",
Super Kings,Daredevils,Daredevils,9,,Durban,"Apr 23, 2009",
Super Kings,,,6,,Durban,"Apr 27, 2009",
Super Kings,Royals,Super Kings,38,,Centurion,"Apr 30, 2009",
Super Kings,Daredevils,Super Kings,18,,Johannesburg,"May 2, 2009",
Super Kings,,Super Kings,78,,East London,"May 4, 2009",2009
Super Kings,Kings XI,Super Kings,12,,Centurion,"May 7, 2009",2009
Super Kings,Royals,Super Kings,,7,Kimberley,"May 9, 2009",2009
RCB,Super Kings,RCB,,2,Durban,"May 14, 2009",
Super Kings,Mum Indians,Super Kings,,7,Port Elizabeth,"May 16, 2009",
Super Kings,KKR,KKR,,7,Centurion,"May 18, 2009",
Super Kings,Kings XI,Super Kings,24,,Durban,"May 20, 2009",
Super Kings,RCB,RCB,,6,Johannesburg,"May 23, 2009",
Super Kings,,,31,,Chennai,"Mar 14, 2010",
KKR,Super Kings,Super Kings,55,,Kolkata,"Mar 16, 2010",
Daredevils,Super Kings,Super Kings,,5,Delhi,"Mar 19, 2010",
Super Kings,Kings XI,tied,,,Chennai,"Mar 21, 2010",
RCB,Super Kings,RCB,36,,Bengaluru,"Mar 23, 2010",
Mum Indians,Super Kings,Mum Indians,,5,Mumbai (BS),"Mar 25, 2010",
Royals,Super Kings,Royals,17,,Ahmedabad,"Mar 28, 2010",2010
Super Kings,RCB,Super Kings,,5,Chennai,"Mar 31, 2010",
Super Kings,Royals,Super Kings,23,,Chennai,"Apr 3, 2010",
Super Kings,Mum Indians,Super Kings,24,,Chennai,"Apr 6, 2010",2010
,Super Kings,,,6,Nagpur,"Apr 10, 2010",2010
Super Kings,KKR,Super Kings,,9,Chennai,"Apr 13, 2010",
Super Kings,Daredevils,Daredevils,,6,Chennai,"Apr 15, 2010",2010
Kings XI,Super Kings,Super Kings,,6,Dharamsala,"Apr 18, 2010",
Super Kings,,Super Kings,38,,Mumbai,"Apr 22, 2010",2010
Mum Indians,Super Kings,Super Kings,22,,Mumbai,"Apr 25, 2010",
Central D,Super Kings,Super Kings,57,,Durban,"Sep 11, 2010",2010
Super Kings,Wayamba,Super Kings,97,,Centurion,"Sep 15, 2010",
Super Kings,Victoria,tied,,,Port Elizabeth,"Sep 18, 2010",
Super Kings,,Super Kings,10,,Port Elizabeth,"Sep 22, 2010",
Super Kings,RCB,Super Kings,52,,Durban,"Sep 24, 2010",
,Super Kings,Super Kings,,8,Johannesburg,"Sep 26, 2010",
Super Kings,KKR,Super Kings,2,,Chennai,"Apr 8, 2011",2011
Kings XI,Super Kings,Kings XI,,6,Mohali,"Apr 13, 2011",2011
Super Kings,RCB,Super Kings,21,,Chennai,"Apr 16, 2011",2011
Kochi,Super Kings,Kochi,,7,Kochi,"Apr 18, 2011",
Mum Indians,Super Kings,Mum Indians,8,,Mumbai,"Apr 22, 2011",2011
Super Kings,,Super Kings,25,,Chennai,"Apr 25, 2011",
,Super Kings,Super Kings,,8,Mumbai,"Apr 27, 2011",
Super Kings,,Super Kings,19,,Chennai,"May 1, 2011",
Super Kings,Royals,Super Kings,,8,Chennai,"May 4, 2011",2011
KKR,Super Kings,KKR,10,,Kolkata,"May 7, 2011",
Royals,Super Kings,Super Kings,63,,Jaipur,"May 9, 2011",
Super Kings,Daredevils,Super Kings,18,,Chennai,"May 12, 2011",2011
Super Kings,Kochi,Super Kings,11,,Chennai,"May 18, 2011",
RCB,Super Kings,RCB,,8,Bengaluru,"May 22, 2011",2011
Super Kings,RCB,Super Kings,,6,Mumbai,"May 24, 2011",
Super Kings,RCB,Super Kings,58,,Chennai,"May 28, 2011",
Super Kings,Mum Indians,Mum Indians,,3,Chennai,"Sep 24, 2011",
Super Kings,Cape Cobras,Super Kings,,4,Chennai,"Sep 28, 2011",
Super Kings,Trinidad & T,Trinidad & T,12,,Chennai,"Oct 2, 2011",
Super Kings,NSW,NSW,46,,Chennai,"Oct 4, 2011",
Super Kings,Mum Indians,Mum Indians,,8,Chennai,"Apr 4, 2012",
,Super Kings,Super Kings,74,,Visakhapatnam,"Apr 7, 2012",
Daredevils,Super Kings,Daredevils,,8,Delhi,"Apr 10, 2012",2012
Super Kings,RCB,Super Kings,,5,Chennai,"Apr 12, 2012",
,Super Kings,,,7,Pune,"Apr 14, 2012",2012
Super Kings,,Super Kings,13,,Chennai,"Apr 19, 2012",
Super Kings,Royals,Super Kings,,7,Chennai,"Apr 21, 2012",2012
RCB,Super Kings,no result,,,Bengaluru,"Apr 25, 2012",
Super Kings,Kings XI,Kings XI,7,,Chennai,"Apr 28, 2012",2012
Super Kings,KKR,KKR,,5,Chennai,"Apr 30, 2012",
Super Kings,,Super Kings,10,,Chennai,"May 4, 2012",2012
Mum Indians,Super Kings,Mum Indians,,2,Mumbai,"May 6, 2012",
Royals,Super Kings,Super Kings,,4,Jaipur,"May 10, 2012",
Super Kings,Daredevils,Super Kings,,9,Chennai,"May 12, 2012",
KKR,Super Kings,Super Kings,,5,Kolkata,"May 14, 2012",
Kings XI,Super Kings,Kings XI,,6,Dharamsala,"May 17, 2012",
Super Kings,Mum Indians,Super Kings,38,,Bengaluru,"May 23, 2012",2012
Super Kings,Daredevils,Super Kings,86,,Chennai,"May 25, 2012",
Super Kings,KKR,KKR,,5,Chennai,"May 27, 2012",
Super Kings,Sixers,Sixers,14,,Johannesburg,"Oct 14, 2012",
Super Kings,,,,6,Cape Town,"Oct 16, 2012",
Super Kings,Mum Indians,Super Kings,6,,Johannesburg,"Oct 20, 2012",
Super Kings,Yorkshire,Super Kings,,4,Durban,"Oct 22, 2012",2012
Super Kings,Mum Indians,Mum Indians,9,,Chennai,"Apr 6, 2013",2012
Kings XI,Super Kings,Super Kings,,10,Mohali,"Apr 10, 2013",2013
Super Kings,RCB,Super Kings,,4,Chennai,"Apr 13, 2013",
Super Kings,,,24,,Chennai,"Apr 15, 2013",
Daredevils,Super Kings,Super Kings,86,,Delhi,"Apr 18, 2013",
KKR,Super Kings,Super Kings,,4,Kolkata,"Apr 20, 2013",
Super Kings,Royals,Super Kings,,5,Chennai,"Apr 22, 2013",
Super Kings,Sunrisers,Super Kings,,5,Chennai,"Apr 25, 2013",
Super Kings,KKR,Super Kings,14,,Chennai,"Apr 28, 2013",2013
,Super Kings,Super Kings,37,,Pune,"Apr 30, 2013",
Super Kings,Kings XI,Super Kings,15,,Chennai,"May 2, 2013",2013
Mum Indians,Super Kings,Mum Indians,60,,Mumbai,"May 5, 2013",
Sunrisers,Super Kings,Super Kings,77,,Hyderabad (Deccan),"May 8, 2013",
Royals,Super Kings,Royals,,5,Jaipur,"May 12, 2013",
Super Kings,Daredevils,Super Kings,33,,Chennai,"May 14, 2013",2013
RCB,Super Kings,RCB,24,,Bengaluru,"May 18, 2013",2013
Super Kings,Mum Indians,Super Kings,48,,Delhi,"May 21, 2013",2013
Super Kings,Mum Indians,Mum Indians,23,,Kolkata,"May 26, 2013",2013
Super Kings,Titans,Super Kings,,4,Ranchi,"Sep 22, 2013",
Super Kings,Sunrisers,Super Kings,12,,Ranchi,"Sep 26, 2013",
Heat,Super Kings,Super Kings,,8,Ranchi,"Sep 28, 2013",
Super Kings,Trinidad & T,Trinidad & T,,8,Delhi,"Oct 2, 2013",
Royals,Super Kings,Royals,14,,Jaipur,"Oct 4, 2013",
Super Kings,Kings XI,Kings XI,,6,Abu Dhabi,"Apr 18, 2014",2014
Super Kings,Daredevils,Super Kings,93,,Abu Dhabi,"Apr 21, 2014",
Royals,Super Kings,Super Kings,7,,Dubai (DSC),"Apr 23, 2014",
Super Kings,Mum Indians,Super Kings,,7,Dubai (DSC),"Apr 25, 2014",
Sunrisers,Super Kings,Super Kings,,5,Sharjah,"Apr 27, 2014",2014
Super Kings,KKR,Super Kings,34,,Ranchi,"May 2, 2014",2014
Daredevils,Super Kings,Super Kings,,8,Delhi,"May 5, 2014",2014
Kings XI,Super Kings,Kings XI,44,,Cuttack,"May 7, 2014",2014
Mum Indians,Super Kings,Super Kings,,4,Mumbai,"May 10, 2014",
Super Kings,Royals,Super Kings,,5,Ranchi,"May 13, 2014",2014
Super Kings,RCB,RCB,,5,Ranchi,"May 18, 2014",2014
KKR,Super Kings,KKR,,8,Kolkata,"May 20, 2014",
Super Kings,Sunrisers,Sunrisers,,6,Ranchi,"May 22, 2014",
RCB,Super Kings,Super Kings,,8,Bengaluru,"May 24, 2014",2014
Mum Indians,Super Kings,Super Kings,,7,Mumbai (BS),"May 28, 2014",
Super Kings,Kings XI,Kings XI,24,,Mumbai,"May 30, 2014",
Super Kings,KKR,KKR,,3,Hyderabad (Deccan),"Sep 17, 2014",
Super Kings,Dolphins,Super Kings,54,,Bengaluru,"Sep 22, 2014",
Super Kings,Scorchers,Super Kings,13,,Bengaluru,"Sep 27, 2014",
Kings XI,Super Kings,Super Kings,65,,Hyderabad (Deccan),"Oct 2, 2014",
Super Kings,KKR,Super Kings,,8,Bengaluru,"Oct 4, 2014",
Super Kings,Daredevils,Super Kings,1,,Chennai,"Apr 9, 2015",
Super Kings,Sunrisers,Super Kings,45,,Chennai,"Apr 11, 2015",2015
Mum Indians,Super Kings,Super Kings,,6,Mumbai,"Apr 17, 2015",
Royals,Super Kings,Royals,,8,Ahmedabad,"Apr 19, 2015",2015
RCB,Super Kings,Super Kings,27,,Bengaluru,"Apr 22, 2015",2015
Super Kings,Kings XI,Super Kings,97,,Chennai,"Apr 25, 2015",
Super Kings,KKR,Super Kings,2,,Chennai,"Apr 28, 2015",2015
KKR,Super Kings,KKR,,7,Kolkata,"Apr 30, 2015",
Sunrisers,Super Kings,Sunrisers,22,,Hyderabad (Deccan),"May 2, 2015",2015
Super Kings,RCB,Super Kings,24,,Chennai,"May 4, 2015",
Super Kings,Mum Indians,Mum Indians,,6,Chennai,"May 8, 2015",
Super Kings,Royals,Super Kings,12,,Chennai,"May 10, 2015",
Daredevils,Super Kings,Daredevils,,6,Raipur,"May 12, 2015",2015
Kings XI,Super Kings,Super Kings,,7,Mohali,"May 16, 2015",
Super Kings,Mum Indians,Mum Indians,25,,Mumbai,"May 19, 2015",2015
Super Kings,RCB,Super Kings,,3,Ranchi,"May 22, 2015",
Super Kings,Mum Indians,Mum Indians,41,,Kolkata,"May 24, 2015",2015
Mum Indians,Super Kings,Super Kings,,1,Mumbai,"Apr 7, 2018",
Super Kings,KKR,Super Kings,,5,Chennai,"Apr 10, 2018",2018
Kings XI,Super Kings,Kings XI,,4,Mohali,"Apr 15, 2018",
Super Kings,Royals,Super Kings,64,,Pune,"Apr 20, 2018",2018
Sunrisers,Super Kings,Super Kings,,4,Hyderabad (Deccan),"Apr 22, 2018",
RCB,Super Kings,Super Kings,,5,Bengaluru,"Apr 25, 2018",2018
Super Kings,Mum Indians,Mum Indians,,8,Pune,"Apr 28, 2018",2018
Super Kings,Daredevils,Super Kings,13,,Pune,"Apr 30, 2018",
KKR,Super Kings,KKR,,6,Kolkata,"May 3, 2018",2018
Super Kings,RCB,Super Kings,,6,Pune,"May 5, 2018",2018
Royals,Super Kings,Royals,,4,Jaipur,"May 11, 2018",2018
Super Kings,Sunrisers,Super Kings,,8,Pune,"May 13, 2018",2018
Daredevils,Super Kings,Daredevils,34,,Delhi,"May 18, 2018",
Super Kings,Kings XI,Super Kings,5,,Pune,"May 20, 2018",
Super Kings,Sunrisers,Super Kings,2,,Mumbai,"May 22, 2018",2018
Super Kings,Sunrisers,Super Kings,8,,Mumbai,"May 27, 2018",2018
Super Kings,RCB,Super Kings,7,,Chennai,"Mar 23, 2019",2019
Capitals,Super Kings,Super Kings,6,,Delhi,"Mar 26, 2019",2019
Super Kings,Royals,Super Kings,8,,Chennai,"Mar 31, 2019",2019
Mum Indians,Super Kings,Mum Indians,37,,Mumbai,"Apr 3, 2019",2019
Super Kings,Kings XI,Super Kings,22,,Chennai,"Apr 6, 2019",2019
Super Kings,KKR,Super Kings,7,,Chennai,"Apr 9, 2019",2019
Royals,Super Kings,Super Kings,4,,Jaipur,"Apr 11, 2019",2019
KKR,Super Kings,Super Kings,5,,Kolkata,"Apr 14, 2019",2019
Sunrisers,Super Kings,Sunrisers,6,,Hyderabad (Deccan),"Apr 17, 2019",
RCB,Super Kings,RCB,1,,Bengaluru,"Apr 21, 2019",
Super Kings,Sunrisers,Super Kings,6,,Chennai,"Apr 23, 2019",
Super Kings,Mum Indians,Mum Indians,46,,Chennai,"Apr 26, 2019",
Super Kings,Capitals,Super Kings,80,,Chennai,"May 1, 2019",
Kings XI,Super Kings,Kings XI,,6,Mohali,"May 5, 2019",2019
Super Kings,Mum Indians,Mum Indians,,6,Chennai,"May 7, 2019",2019
Super Kings,Capitals,Super Kings,,6,Visakhapatnam,"May 10, 2019",
Super Kings,Mum Indians,Mum Indians,,1,Hyderabad (Deccan),"May 12, 2019",
Mum Indians,Super Kings,Super Kings,,5,Abu Dhabi,"Sep 19, 2020",
Royals,Super Kings,Royals,16,,Sharjah,"Sep 22, 2020",2020
Super Kings,Capitals,Capitals,44,,Dubai (DSC),"Sep 25, 2020",
Super Kings,Sunrisers,Sunrisers,7,,Dubai (DSC),"Oct 2, 2020",
Kings XI,Super Kings,Super Kings,10,,Dubai (DSC),"Oct 4, 2020",2020
KKR,Super Kings,KKR,10,,Abu Dhabi,"Oct 7, 2020",2020
Super Kings,RCB,RCB,37,,Dubai (DSC),"Oct 10, 2020",2020
Sunrisers,Super Kings,Super Kings,20,,Dubai (DSC),"Oct 13, 2020",2020
Capitals,Super Kings,Capitals,5,,Sharjah,"Oct 17, 2020",
Super Kings,Royals,Royals,7,,Abu Dhabi,"Oct 19, 2020",
Super Kings,Mum Indians,Mum Indians,10,,Sharjah,"Oct 23, 2020",
RCB,Super Kings,Super Kings,,8,Dubai (DSC),"Oct 25, 2020",
Super Kings,KKR,Super Kings,,6,Dubai (DSC),"Oct 29, 2020",
Super Kings,Kings XI,Super Kings,,9,Abu Dhabi,"Nov 1, 2020",
Super Kings,Capitals,Capitals,,7,Mumbai,"Apr 10, 2021",
Punjab Kings,Super Kings,Super Kings,,6,Mumbai,"Apr 16, 2021",
Super Kings,Royals,Super Kings,45,,Mumbai,"Apr 19, 2021",
KKR,Super Kings,Super Kings,18,,Mumbai,"Apr 21, 2021",
Super Kings,RCB,Super Kings,69,,Mumbai,"Apr 25, 2021",2021
Super Kings,Sunrisers,Super Kings,7,,Delhi,"Apr 28, 2021",2021
,Super Kings,Mum Indians,4,,Delhi,"May 1, 2021",2021
